Parametros usados: betta = 0.8, gamma = 0.2
docid -> clase_real -> clase_asignada_clasificador (similitud)
18 -> coffee -> coffee (0.058062519066453336)
52 -> money-fx -> money-fx (0.03422309536421858)
68 -> money-fx -> money-fx (0.07097418460940463)
111 -> trade -> trade (0.05561701158883017)
118 -> coffee -> coffee (0.0918515985147564)
121 -> trade -> coffee (0.03243567834074243)
142 -> grain -> grain (0.05722060446525382)
152 -> grain -> grain (0.030610555965047696)
170 -> crude -> crude (0.07254258484189895)
192 -> crude -> crude (0.08460419695916349)
208 -> grain -> grain (0.046371499616557545)
219 -> grain -> grain (0.054422842854183986)
226 -> grain -> grain (0.03256168553889324)
235 -> money-fx -> money-fx (0.044076752829916015)
260 -> trade -> coffee (0.04079296970142063)
273 -> money-fx -> money-fx (0.017790177062273014)
322 -> grain -> grain (0.042232601855892934)
343 -> grain -> grain (0.04435782642414154)
354 -> trade -> trade (0.042946155192074134)
365 -> trade -> trade (0.06121869124147365)
424 -> grain -> grain (0.031474530417114475)
444 -> coffee -> coffee (0.09534142500510547)
445 -> grain -> grain (0.024844338073948927)
463 -> crude -> crude (0.03462075103416978)
477 -> grain -> grain (0.05349036594099968)
479 -> coffee -> coffee (0.06549334048833877)
482 -> grain -> grain (0.024056369950366776)
496 -> money-fx -> money-fx (0.162416223031506)
498 -> crude -> crude (0.032337792682082304)
506 -> trade -> money-fx (0.038778791038095256)
519 -> crude -> crude (0.049197624379760406)
